Voting Manager,Fund,Vote Cast
CANDRIAM,Cleome Index Europe Equities,Against
HSBC Global Asset Management,HSBC,Against
London Borough of Camden Pension Fund,London Borough of Camden Pension Fund,Against
MN,MN,Against
Merseyside Pension Fund,Merseyside Pension Fund,Against
North East Scotland Pension Fund,North East Scotland Pension Fund,Against
Northern Local Government Pension Scheme (LGPS),Northern Local Government Pension Scheme (LGPS),Against
PIRC (PVA Recommendations),PIRC (PVA Recommendations),Against
Pensioenfonds Metaal en Techniek,Pensioenfonds Metaal en Techniek,Against
RBC Indigo (fka HSBC Canada),RBC Indigo International Equity Index Fund,Against
Railpen (RPMI),Railpen,Against
Schroders PLC,Schroders PLC,Against
