Voting Manager,Vote Cast
Aberdeen Asset Managers Ltd.,Against
Ahold Delhaize Pensioen,Against
BPF Schoonmaak,Against
"Cohen & Steers Capital Management, Inc.",Against
Crédit Mutuel Asset Management,Against
DWS Investment GmbH,Against
Industriens Pension,Against
Irish Life Investment Managers Limited,Split
Legal & General Investment Management Ltd.,Against
MN,Against
P+ (DIP/JOEP),Against
Pensioenfonds Horeca & Catering,Against
Pensioenfonds Metaal en Techniek,Against
PensionDanmark,Against
Pensionskassernes Administration (PKA),Against
PSP Investments (13F Filer),Against
Sarasin & Partners LLP,Against
Schroders PLC,Against
State of Wisconsin Investment Board (SWIB),Against
PGGM,Against
Swisscanto,Against
Van Lanschot Kempen Investment Management NV,Against
Stichting PMT,Against
"Cohen & Steers Capital Management, Inc.",Against
Candriam Belgium SA,Against
HSBC Global Asset Management (UK) Ltd.,Against
