Voting Manager,Fund,Vote Cast
ABN AMRO Bank N.V.,ABN AMRO Candriam Global Dividend Equities,Against
AEGON Investment Management B.V,AEGON Asset Management,Against
APG,APG,Against
Achmea,Achmea,Against
Ahold Delhaize Pensioen,Ahold Delhaize Pensioen,Against
Allianz Global Investors,Allianz,Against
BPL Pensioen,BPL Pensioen,Against
Bank J. Safra Sarasin,Bank J. Safra Sarasin Ltd,Against
Baring Asset Management,Baring Asset Management,Against
British Columbia Investment Management Corporation,British Columbia Investment Management Corporation (BCI),Against
CANDRIAM,Candriam Business Equities EMU,Against
"Calvert Research and Management, Inc.",Calvert International Responsible Index ETF,Against
Canada Pension Plan Investment Board (CPPIB),Canada Pension Plan Investment Board (CPPIB),Against
Christian Brothers Investment Services (CBIS),Catholic Responsible Investments International Equity Fund,Against
DNB Asset Management,DNB Europa Indeks,Against
DWS Investment GmbH,AL DWS GlobalAktiv+,Against
Deka Investment,Deka Investment,Against
Dorval Asset Management,Dorval Global Allocation,Against
Ethos,Ethos Asset Management,Against
Eurizon Capital,Eps European Equity Large Cap Index,Against
"Everence Capital Management, Inc.",Praxis International Index Fund,Against
Fjärde AP-fonden (AP4),FJARDE AP-FONDEN,Against
Första AP-fonden (AP1),Första AP-fonden,Against
HSBC Global Asset Management,HSBC,Against
Illinois State Treasurer,Illinois State Treasurer,Against
Jupiter Asset Management,Jupiter Global Sustainable Equities Fund,Against
KLP Kapitalforvaltning,KLP LK Aksjer,Against
Legal & General Investment Management,Legal & General,Against
LocalTapiola Asset Management,LocalTapiola ESG Institution Europe,Against
London Borough of Camden Pension Fund,London Borough of Camden Pension Fund,Against
MN,MN,Against
Maryland State Retirement and Pension System,Maryland State Retirement and Pension System,Against
Mercy Investment Services,Mercy Investments,Against
Merseyside Pension Fund,Merseyside Pension Fund,Against
Mirova SA,Impact ES Actions Europe,Against
NEI Investments,NEI Global Dividend RS Fund,Against
New York City Pension Funds,Group Trust,Against
Northern Local Government Pension Scheme (LGPS),Northern Local Government Pension Scheme (LGPS),Against
Ohio Public Employees Retirement System (OPERS),Ohio Public Employees Retirement System (OPERS),Against
Ostrum Asset Management (Natixis),Ostrum AM,Against
P+ (DIP/JOEP),P+ (DIP/JOEP),Against
PIRC (PVA Recommendations),PIRC (PVA Recommendations),Against
PenSam,PenSam,Against
Pensioenfonds Horeca & Catering,PHC Blackrock,Against
Pensioenfonds Metaal en Techniek,Pensioenfonds Metaal en Techniek,Against
Pensioenfonds Vervoer,Pensioenfonds Vervoer,Against
Pensionskasse SBB,Pensionskasse SBB,Against
Pictet Asset Management Limited,Pictet Asset Management Limited,Against
Rathbones,Rathbones,Against
Sjunde AP-fonden (AP7),Sjunde AP-fonden,Against
Sparinvest,Europe Growth Index,Against
State of Wisconsin Investment Board (SWIB),State of Wisconsin Investment Board,Against
Stichting Pensioenfonds Medewerkers Apotheken,Stichting Pensioenfonds Medewerkers Apotheken,Against
Storebrand Asset Management,AMX UCITS CCF Storebrand Global ESG Plus,Against
Swiss Life Asset Managers,Swiss Life Asset Managers,Against
Swisscanto,AKB Aktien Europa Top Selection ESG Fokus,Against
Sycomore Asset Management,GENERALI INVESTMENTS SICAV - SRI AGEING POPULATION,Against
TKP Investments,AEGON CUSTODY B.V. - TWEF - M&G,Against
TOBAM,MDP - TOBAM Anti-Benchmark Global Equity Fund,Against
Trillium Asset Management Corp.,Trillium Asset Management,Against
Van Lanschot Kempen Investment Management,Kempen (Lux) European High Dividend Fund,Against
Wespath Investment Management,General Board of Pension & Health Benefits of the United Methodist Church,Against
bpfBOUW (De Stichting Bedrijfstakpensioenfonds voor de Bouwnijverheid),bpfBOUW (De Stichting Bedrijfstakpensioenfonds voor de Bouwnijverheid),Against
